  x   y
  3   4
 11  19
  5  13
 10  24
  5  16
  8  19
  4   7
 30  63
  3  10
  4   7
 15  32
 16  35
  4  12
 11  26
  4   5
142 328
  6  16
  4   9
  7  18
  8  17
 11  26
 97 211
  4   5
  4   7
  9  20
 14  29
  4   7
 87 189
  7  12
  2   6
  3   5
  4   7
  3   6
  4  13
  6  17
  4  11
  9  27
  5  12
 22  45
  7  17
 13  24
  5   5
 28  67
 47 102
  4  11
 13  30
  3   4
 10  23
  2   6
 58 123
  2   1
  3   8
  9  14
  2  10
  5  10
  3   4
  4  11
  5  10
  3   4
 15  28
  5   6
  4  13
 13  29
  7  15
  7  15
  9  20
  6  10
 37  91
 52 115
  9  15
  4   7
  4   6
  2   3
 12  32
  7  18
  4   7
 12  29
  3   7
